x,y
502.47,309.16
509.97,303.70
510.65,296.19
508.61,314.62
512.70,311.89
520.89,293.46
531.13,290.05
540.68,288.00
549.55,288.00
558.43,294.14
564.57,300.28
571.39,308.48
571.39,316.66
572.07,337.14
558.43,333.73
549.55,329.63
543.41,333.04
545.46,337.82
552.28,339.87
544.78,322.80
549.55,322.80
543.41,318.71
546.14,314.62
540.00,312.57
527.03,303.01
537.27,298.92
543.41,309.84
543.41,298.92
552.28,298.92
559.79,307.79
561.16,313.93
537.27,309.84
526.35,318.03
522.94,320.76
520.89,311.21
533.18,317.35
529.08,324.85
527.72,328.95
532.49,333.04
535.22,331.00
534.54,324.85
515.43,326.22
507.24,331.00
503.83,335.09
495.64,338.50
497.00,351.47
488.81,347.37
499.74,345.33
516.11,349.42
529.76,346.01
537.27,345.33
528.40,353.51
538.64,350.78
544.09,359.66
540.00,364.44
537.95,356.93
529.08,362.39
520.21,363.07
511.34,363.07
502.47,358.29
545.46,351.47
555.70,351.47
561.84,343.28
479.94,352.15
490.18,354.20
490.86,358.98
488.13,363.07
486.77,367.85
550.24,537.10
558.43,535.74
553.65,548.02
647.83,427.91
650.56,434.73
658.75,431.32
660.11,423.81
651.24,441.55
645.78,453.16
662.84,449.74
664.89,441.55
671.72,431.32
671.72,438.14
674.45,444.28
676.49,437.46
679.22,407.43
677.18,412.89
676.49,416.30
675.81,423.13
690.14,416.99
695.60,425.86
698.33,417.67
707.21,412.21
725.63,429.27
747.47,426.54
724.95,436.78
720.85,442.92
692.87,444.28
734.50,459.98
660.79,461.35
664.21,457.25
671.72,457.25
679.91,459.98
699.70,459.98
703.11,466.80
687.41,466.80
696.28,475.00
701.06,483.87
696.97,492.74
687.41,493.42
364.61,344.64
372.11,346.69
376.21,337.82
374.84,334.41
367.34,332.36
380.30,332.36
383.03,339.87
385.76,332.36
391.91,338.50
400.09,339.19
404.87,342.60
400.09,331.00
389.86,365.12
400.09,359.66
500.42,510.49
503.15,501.61
511.34,502.29
518.16,498.20
477.90,509.12
490.18,507.07
508.61,434.05
520.89,440.19
524.99,438.14
527.72,443.60
526.35,449.74
519.52,451.11
516.79,444.28
534.54,444.97
